Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.939
20,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.88
10,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.97
5,70,4,94.286,0.789,1.0,1.0,0.927,0.927,0.922,0.994
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.943
5,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.966
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.948
10,70,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.977
5,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.912
