Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,70,38,45.714,0.129,0.718,0.267,0.509,0.509,0.385,0.315
5,70,28,60.0,0.324,0.909,0.8,0.545,0.545,0.572,0.718
20,70,47,32.857,0.136,0.654,0.4,0.309,0.309,0.312,0.345
15,70,29,58.571,0.316,0.906,0.8,0.527,0.527,0.56,0.778
5,70,33,52.857,0.219,0.789,0.467,0.545,0.545,0.472,0.465
5,70,29,58.571,0.267,0.825,0.533,0.6,0.6,0.525,0.484
5,70,42,40.0,0.171,0.724,0.467,0.382,0.382,0.375,0.362
5,70,30,57.143,0.258,0.821,0.533,0.582,0.582,0.514,0.533
5,70,41,41.429,0.19,0.75,0.533,0.382,0.382,0.393,0.407
5,70,37,47.143,0.156,0.737,0.333,0.509,0.509,0.407,0.428
