Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.956
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.914
5,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.838,0.916
10,70,1,98.571,0.938,1.0,1.0,0.982,0.982,0.979,0.995
5,70,9,87.143,0.636,0.979,0.933,0.855,0.855,0.835,0.944
15,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.935
10,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,1.0
15,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.912
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.982
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.965
