Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.942
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.989
15,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.966
5,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.838,0.903
5,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.989
20,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.95
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.958
5,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.93
5,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.95
10,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.97
