Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.938,0.965
10,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.872
20,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.863
5,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.985
5,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.949
10,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.925
20,70,10,85.714,0.647,0.925,0.733,0.891,0.891,0.797,0.934
15,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.99
10,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.93
15,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.788,0.765
