Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.925
20,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.937
15,70,11,84.286,0.7,0.867,0.467,0.945,0.945,0.732,0.909
10,70,11,84.286,0.75,0.855,0.4,0.964,0.964,0.714,0.885
10,70,11,84.286,0.667,0.879,0.533,0.927,0.927,0.748,0.802
5,70,10,85.714,0.647,0.925,0.733,0.891,0.891,0.797,0.902
15,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.766,0.88
15,70,14,80.0,0.6,0.815,0.2,0.964,0.964,0.592,0.813
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.92
20,70,12,82.857,0.667,0.852,0.4,0.945,0.945,0.698,0.857
