Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,32,54.286,0.242,0.811,0.533,0.545,0.545,0.493,0.53
15,70,33,52.857,0.219,0.789,0.467,0.545,0.545,0.472,0.552
10,70,32,54.286,0.207,0.78,0.4,0.582,0.582,0.47,0.456
5,70,27,61.429,0.286,0.833,0.533,0.636,0.636,0.547,0.592
15,70,27,61.429,0.227,0.792,0.333,0.691,0.691,0.504,0.566
10,70,39,44.286,0.25,0.864,0.8,0.345,0.345,0.437,0.516
15,70,31,55.714,0.265,0.833,0.6,0.545,0.545,0.513,0.589
15,70,32,54.286,0.242,0.811,0.533,0.545,0.545,0.493,0.566
5,70,38,45.714,0.244,0.84,0.733,0.382,0.382,0.446,0.593
20,70,27,61.429,0.2,0.78,0.267,0.709,0.709,0.486,0.463
