Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.927
20,70,11,84.286,0.75,0.855,0.4,0.964,0.964,0.714,0.732
15,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.93
20,70,11,84.286,0.667,0.879,0.533,0.927,0.927,0.748,0.868
10,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.907
5,70,11,84.286,0.625,0.907,0.667,0.891,0.891,0.772,0.901
20,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.973
15,70,8,88.571,1.0,0.873,0.467,1.0,1.0,0.784,0.903
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.987
20,70,7,90.0,0.722,0.962,0.867,0.909,0.909,0.861,0.933
