Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.952
15,70,15,78.571,0.5,0.917,0.733,0.8,0.8,0.724,0.852
15,70,22,68.571,0.379,0.902,0.733,0.673,0.673,0.635,0.753
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.973
20,70,11,84.286,0.643,0.893,0.6,0.909,0.909,0.761,0.918
15,70,16,77.143,0.476,0.898,0.667,0.8,0.8,0.701,0.878
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.998
20,70,31,55.714,0.233,0.8,0.467,0.582,0.582,0.492,0.613
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.965
10,70,15,78.571,0.5,0.976,0.933,0.745,0.745,0.748,0.907
