Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.964
20,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.93
5,70,13,81.429,0.6,0.85,0.4,0.927,0.927,0.683,0.909
20,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.993
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.924
20,70,9,87.143,1.0,0.859,0.4,1.0,1.0,0.748,0.945
10,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.943
20,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.956
5,70,10,85.714,0.727,0.881,0.533,0.945,0.945,0.764,0.909
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.956
