Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.776
20,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.861
15,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.784
20,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.967
10,70,10,85.714,1.0,0.846,0.333,1.0,1.0,0.708,0.872
10,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.814,0.699
20,70,12,82.857,0.636,0.864,0.467,0.927,0.927,0.717,0.782
15,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.85
15,70,9,87.143,0.714,0.911,0.667,0.927,0.927,0.804,0.741
10,70,15,78.571,0.5,0.845,0.4,0.891,0.891,0.656,0.59
