Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.895
20,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.918
20,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.921
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.921
20,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.95
15,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.931
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.903
10,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.922
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.952
20,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.956
