Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.768
5,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.825
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.956
5,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.972
10,70,10,85.714,0.647,0.925,0.733,0.891,0.891,0.797,0.797
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.916
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.922
10,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.97
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.954
20,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.985
