Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,70,41,41.429,0.158,0.719,0.4,0.418,0.418,0.378,0.475
5,70,21,70.0,0.333,0.827,0.4,0.782,0.782,0.584,0.52
10,70,20,71.429,0.273,0.797,0.2,0.855,0.855,0.528,0.62
15,70,35,50.0,0.188,0.763,0.4,0.527,0.527,0.439,0.507
5,70,46,34.286,0.156,0.68,0.467,0.309,0.309,0.329,0.348
15,70,51,27.143,0.167,0.625,0.6,0.182,0.182,0.271,0.435
15,70,37,47.143,0.176,0.75,0.4,0.491,0.491,0.419,0.327
20,70,40,42.857,0.162,0.727,0.4,0.436,0.436,0.388,0.457
5,70,30,57.143,0.273,0.838,0.6,0.564,0.564,0.524,0.572
5,70,35,50.0,0.237,0.812,0.6,0.473,0.473,0.469,0.561
