Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.895
20,70,11,84.286,0.667,0.879,0.533,0.927,0.927,0.748,0.868
20,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.814,0.907
15,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.959
5,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.994
20,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.814,0.886
10,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.907
5,70,18,74.286,0.364,0.814,0.267,0.873,0.873,0.575,0.839
20,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.908
10,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.933
