Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.973
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.993
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.958
10,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.965
5,70,10,85.714,0.778,0.869,0.467,0.964,0.964,0.749,0.835
15,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.948
15,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.93
5,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.927
15,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,0.985
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.813
