Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.956
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.961
20,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.925
5,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.959
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.977
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.985
5,70,9,87.143,0.75,0.897,0.6,0.945,0.945,0.794,0.951
10,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.91
15,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.973
20,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.968
