Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.838
20,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.949
20,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.938
10,70,12,82.857,0.636,0.864,0.467,0.927,0.927,0.717,0.852
20,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.875
20,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.904
20,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.924
5,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.913
5,70,7,90.0,0.722,0.962,0.867,0.909,0.909,0.861,0.954
5,70,11,84.286,0.625,0.907,0.667,0.891,0.891,0.772,0.853
