Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,32,54.286,0.16,0.756,0.267,0.618,0.618,0.44,0.419
10,70,37,47.143,0.194,0.765,0.467,0.473,0.473,0.429,0.382
20,70,31,55.714,0.265,0.833,0.6,0.545,0.545,0.513,0.533
20,70,40,42.857,0.121,0.703,0.267,0.473,0.473,0.366,0.39
15,70,39,44.286,0.184,0.75,0.467,0.436,0.436,0.408,0.406
15,70,25,64.286,0.308,0.841,0.533,0.673,0.673,0.569,0.634
5,70,40,42.857,0.209,0.778,0.6,0.382,0.382,0.411,0.496
5,70,24,65.714,0.286,0.816,0.4,0.727,0.727,0.551,0.547
20,70,32,54.286,0.242,0.811,0.533,0.545,0.545,0.493,0.554
20,70,30,57.143,0.258,0.821,0.533,0.582,0.582,0.514,0.578
