Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,17,75.714,0.464,0.952,0.867,0.727,0.727,0.715,0.847
10,70,16,77.143,0.471,0.868,0.533,0.836,0.836,0.676,0.782
10,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.919
20,70,14,80.0,0.533,0.873,0.533,0.873,0.873,0.703,0.798
20,70,16,77.143,0.476,0.898,0.667,0.8,0.8,0.701,0.842
20,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,0.998
5,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.927
5,70,23,67.143,0.318,0.833,0.467,0.727,0.727,0.578,0.686
20,70,17,75.714,0.458,0.913,0.733,0.764,0.764,0.698,0.913
20,70,12,82.857,0.579,0.922,0.733,0.855,0.855,0.767,0.873
