Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.928
20,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.939
10,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.818,0.943
15,70,10,85.714,1.0,0.846,0.333,1.0,1.0,0.708,0.912
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.97
15,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.977
20,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.972
20,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.966
15,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.968
10,70,10,85.714,1.0,0.846,0.333,1.0,1.0,0.708,0.874
