Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.921
10,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.944
10,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.915
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.984
10,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.893
10,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.867
10,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.982
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.924
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.943
5,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.936
