Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,70,7,90.0,0.722,0.962,0.867,0.909,0.909,0.861,0.919
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.961
15,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.958
20,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.845
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.977
5,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.92
10,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.788,0.793
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.942
10,70,16,77.143,0.444,0.82,0.267,0.909,0.909,0.598,0.702
5,70,13,81.429,0.75,0.818,0.2,0.982,0.982,0.604,0.795
