Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,36,48.571,0.216,0.788,0.533,0.473,0.473,0.449,0.531
10,70,44,37.143,0.128,0.677,0.333,0.382,0.382,0.337,0.303
5,70,30,57.143,0.258,0.821,0.533,0.582,0.582,0.514,0.541
5,70,30,57.143,0.286,0.857,0.667,0.545,0.545,0.533,0.62
5,70,29,58.571,0.182,0.771,0.267,0.673,0.673,0.467,0.507
5,70,39,44.286,0.2,0.767,0.533,0.418,0.418,0.416,0.435
5,70,35,50.0,0.167,0.75,0.333,0.545,0.545,0.427,0.456
10,70,29,58.571,0.062,0.741,0.067,0.727,0.727,0.399,0.331
5,70,46,34.286,0.156,0.68,0.467,0.309,0.309,0.329,0.361
5,70,27,61.429,0.269,0.818,0.467,0.655,0.655,0.534,0.553
