Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,70,11,84.286,0.667,0.879,0.533,0.927,0.927,0.748,0.835
15,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.938,0.992
20,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.777,0.857
15,70,14,80.0,0.538,0.86,0.467,0.891,0.891,0.688,0.784
10,70,14,80.0,0.529,0.887,0.6,0.855,0.855,0.716,0.916
20,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.996
20,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.927
10,70,10,85.714,0.778,0.869,0.467,0.964,0.964,0.749,0.97
15,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.87
5,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.938
