Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.916
20,70,18,74.286,0.435,0.894,0.667,0.764,0.764,0.675,0.793
15,70,16,77.143,0.483,0.976,0.933,0.727,0.727,0.735,0.924
20,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.918
5,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.858
15,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.953
10,70,23,67.143,0.357,0.881,0.667,0.673,0.673,0.614,0.768
20,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.944
10,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.942
5,70,23,67.143,0.367,0.9,0.733,0.655,0.655,0.623,0.818
