Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.938
10,70,12,82.857,0.636,0.864,0.467,0.927,0.927,0.717,0.859
15,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.818,0.958
20,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,0.992
10,70,12,82.857,1.0,0.821,0.2,1.0,1.0,0.617,0.953
20,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.972
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.989
10,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.983
10,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.912
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.941
