Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.898
20,70,12,82.857,0.588,0.906,0.667,0.873,0.873,0.757,0.899
20,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.926
20,70,11,84.286,0.7,0.867,0.467,0.945,0.945,0.732,0.852
5,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.862
15,70,13,81.429,0.583,0.862,0.467,0.909,0.909,0.702,0.76
20,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.834
15,70,2,97.143,0.882,1.0,1.0,0.964,0.964,0.959,0.832
5,70,9,87.143,0.75,0.897,0.6,0.945,0.945,0.794,0.863
15,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.801
