Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.95
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.971
20,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.977
5,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,0.984
10,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,1.0
5,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.961
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.878
15,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.975
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.97
15,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,0.988
