Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.925
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.915
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.915
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.945
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.965
15,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.931
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.952
15,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.958
20,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.973
10,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.975
