Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,70,7,90.0,0.722,0.962,0.867,0.909,0.909,0.861,0.952
20,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.935
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.925
5,70,10,85.714,1.0,0.846,0.333,1.0,1.0,0.708,0.867
10,70,10,85.714,1.0,0.846,0.333,1.0,1.0,0.708,0.979
10,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.777,0.888
20,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.91
15,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.93
15,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.915
15,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.893
