Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,45,35.714,0.143,0.679,0.4,0.345,0.345,0.334,0.353
5,70,31,55.714,0.278,0.853,0.667,0.527,0.527,0.522,0.523
5,70,37,47.143,0.133,0.725,0.267,0.527,0.527,0.394,0.375
5,70,46,34.286,0.14,0.667,0.4,0.327,0.327,0.323,0.411
5,70,27,61.429,0.286,0.833,0.533,0.636,0.636,0.547,0.642
5,70,46,34.286,0.103,0.645,0.267,0.364,0.364,0.307,0.291
10,70,26,62.857,0.31,0.854,0.6,0.636,0.636,0.569,0.547
5,70,28,60.0,0.259,0.814,0.467,0.636,0.636,0.524,0.533
5,70,41,41.429,0.139,0.706,0.333,0.436,0.436,0.368,0.422
20,70,34,51.429,0.243,0.818,0.6,0.491,0.491,0.48,0.522
