Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.976
15,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.928
20,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.955
5,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,1.0
15,70,16,77.143,0.462,0.842,0.4,0.873,0.873,0.643,0.852
20,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.788,0.885
10,70,13,81.429,0.625,0.839,0.333,0.945,0.945,0.662,0.924
10,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.914
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.955
20,70,11,84.286,0.667,0.879,0.533,0.927,0.927,0.748,0.924
