Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,70,14,80.0,0.52,0.956,0.867,0.782,0.782,0.755,0.908
5,70,10,85.714,0.647,0.925,0.733,0.891,0.891,0.797,0.907
20,70,17,75.714,0.438,0.852,0.467,0.836,0.836,0.648,0.701
20,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.945
5,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.886
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.93
5,70,14,80.0,0.524,0.918,0.733,0.818,0.818,0.738,0.905
10,70,11,84.286,0.625,0.907,0.667,0.891,0.891,0.772,0.792
5,70,12,82.857,0.588,0.906,0.667,0.873,0.873,0.757,0.895
15,70,14,80.0,0.52,0.956,0.867,0.782,0.782,0.755,0.916
