Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.936
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.977
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.964
15,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.999
15,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.964
10,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.978
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.982
15,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.73,0.91
20,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.996
15,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,0.999
