Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.814,0.945
15,70,9,87.143,0.714,0.911,0.667,0.927,0.927,0.804,0.771
15,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.761
5,70,8,88.571,1.0,0.873,0.467,1.0,1.0,0.784,0.836
10,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.956
10,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.888
10,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.981
20,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.873
5,70,16,77.143,0.462,0.842,0.4,0.873,0.873,0.643,0.692
15,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.818,0.948
