Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.971
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.884
15,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.925
15,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.926
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.937
20,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.996
5,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.972
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.945
5,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.977
