Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.979
5,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.858
15,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.902
15,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.895
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.908
5,70,9,87.143,0.714,0.911,0.667,0.927,0.927,0.804,0.813
20,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.976
10,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.861
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.913
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.967
