Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.96
5,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.992
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.909
15,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.818,0.905
15,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.985
5,70,13,81.429,0.583,0.862,0.467,0.909,0.909,0.702,0.807
5,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.976
10,70,10,85.714,0.647,0.925,0.733,0.891,0.891,0.797,0.862
15,70,13,81.429,0.6,0.85,0.4,0.927,0.927,0.683,0.756
5,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.978
