Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,43,38.571,0.196,0.75,0.6,0.327,0.327,0.375,0.432
5,70,27,61.429,0.269,0.818,0.467,0.655,0.655,0.534,0.444
5,70,41,41.429,0.118,0.694,0.267,0.455,0.455,0.356,0.355
5,70,19,72.857,0.409,0.875,0.6,0.764,0.764,0.651,0.719
15,70,36,48.571,0.161,0.744,0.333,0.527,0.527,0.417,0.425
5,70,45,35.714,0.174,0.708,0.533,0.309,0.309,0.346,0.331
15,70,25,64.286,0.344,0.895,0.733,0.618,0.618,0.6,0.716
10,70,36,48.571,0.244,0.828,0.667,0.436,0.436,0.464,0.573
10,70,24,65.714,0.235,0.792,0.267,0.764,0.764,0.514,0.512
5,70,32,54.286,0.207,0.78,0.4,0.582,0.582,0.47,0.39
