Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,10,85.714,0.619,0.959,0.867,0.855,0.855,0.813,0.953
20,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.924
10,70,15,78.571,0.5,0.857,0.467,0.873,0.873,0.674,0.878
20,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.814,0.899
20,70,13,81.429,0.6,0.85,0.4,0.927,0.927,0.683,0.815
20,70,10,85.714,0.632,0.941,0.8,0.873,0.873,0.806,0.936
5,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.901,0.949
20,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.862
20,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.73,0.931
10,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.993
