Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.941
10,70,18,74.286,0.4,0.836,0.4,0.836,0.836,0.618,0.749
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.97
10,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.964
10,70,18,74.286,0.452,0.974,0.933,0.691,0.691,0.709,0.908
20,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.936
10,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.937
10,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.96
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.904
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.984
