Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.788,0.942
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.987
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.978
15,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.983
15,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.996
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.961
5,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,0.979
10,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.967
20,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.981
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.942
