Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.99
20,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.788,0.853
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.953
20,70,12,82.857,0.667,0.852,0.4,0.945,0.945,0.698,0.685
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.956
15,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.89
20,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.998
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.978
10,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.95
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.948
