Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,30,3,90.0,0.929,0.875,0.867,0.933,0.933,0.9,0.973
5,30,5,83.333,1.0,0.75,0.667,1.0,1.0,0.829,0.831
5,30,5,83.333,1.0,0.75,0.667,1.0,1.0,0.829,0.982
15,30,3,90.0,1.0,0.833,0.8,1.0,1.0,0.899,0.949
10,35,4,88.571,1.0,0.789,0.8,1.0,1.0,0.886,0.947
15,35,6,82.857,0.938,0.737,0.75,0.933,0.933,0.828,0.885
5,35,5,85.714,1.0,0.75,0.75,1.0,1.0,0.857,0.817
5,35,6,82.857,0.909,0.792,0.667,0.95,0.95,0.816,0.845
20,35,5,85.714,0.917,0.826,0.733,0.95,0.95,0.849,0.867
20,35,3,91.429,0.929,0.905,0.867,0.95,0.95,0.912,0.98
