Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,10,62.963,0.471,0.9,0.889,0.5,0.5,0.629,0.864
20,27,7,74.074,0.6,0.824,0.667,0.778,0.778,0.716,0.747
5,27,2,92.593,1.0,0.9,0.778,1.0,1.0,0.911,1.0
5,27,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,36,7,80.556,0.923,0.739,0.667,0.944,0.944,0.802,0.917
5,36,10,72.222,0.9,0.654,0.5,0.944,0.944,0.708,0.799
5,36,4,88.889,1.0,0.818,0.778,1.0,1.0,0.888,1.0
5,36,5,86.111,0.882,0.842,0.833,0.889,0.889,0.861,0.932
15,36,6,83.333,0.929,0.773,0.722,0.944,0.944,0.831,0.926
5,36,3,91.667,1.0,0.857,0.833,1.0,1.0,0.916,1.0
