Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,30,11,63.333,0.6,0.7,0.8,0.467,0.467,0.623,0.68
5,30,22,26.667,0.231,0.294,0.2,0.333,0.333,0.263,0.24
15,30,17,43.333,0.417,0.444,0.333,0.533,0.533,0.428,0.507
5,30,12,60.0,0.588,0.615,0.667,0.533,0.533,0.598,0.609
5,35,14,60.0,0.688,0.526,0.55,0.667,0.667,0.6,0.633
5,35,16,54.286,0.667,0.478,0.4,0.733,0.733,0.539,0.575
10,35,22,37.143,0.429,0.333,0.3,0.467,0.467,0.371,0.413
15,35,20,42.857,0.368,0.5,0.467,0.4,0.4,0.428,0.48
20,35,21,40.0,0.364,0.462,0.533,0.3,0.3,0.398,0.567
5,35,15,57.143,0.5,0.727,0.8,0.4,0.4,0.566,0.545
