Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,30,5,83.333,0.857,0.812,0.8,0.867,0.867,0.833,0.916
5,30,4,86.667,1.0,0.789,0.733,1.0,1.0,0.864,1.0
5,30,5,83.333,1.0,0.75,0.667,1.0,1.0,0.829,0.973
5,30,6,80.0,1.0,0.714,0.6,1.0,1.0,0.792,1.0
10,35,3,91.429,1.0,0.833,0.85,1.0,1.0,0.914,0.963
5,35,7,80.0,0.933,0.7,0.7,0.933,0.933,0.8,0.863
5,35,9,74.286,0.923,0.636,0.6,0.933,0.933,0.742,0.82
20,35,2,94.286,1.0,0.909,0.867,1.0,1.0,0.94,0.903
10,35,5,85.714,1.0,0.8,0.667,1.0,1.0,0.844,0.947
10,35,10,71.429,0.857,0.679,0.4,0.95,0.95,0.669,0.787
