Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,30,5,83.333,0.857,0.812,0.8,0.867,0.867,0.833,0.902
5,30,6,80.0,0.909,0.737,0.667,0.933,0.933,0.796,0.867
5,30,5,83.333,0.917,0.778,0.733,0.933,0.933,0.832,0.876
15,30,1,96.667,0.938,1.0,1.0,0.933,0.933,0.967,1.0
10,35,7,80.0,0.882,0.722,0.75,0.867,0.867,0.799,0.903
10,35,7,80.0,1.0,0.682,0.65,1.0,1.0,0.799,0.937
15,35,5,85.714,0.857,0.857,0.9,0.8,0.8,0.853,0.943
20,35,5,85.714,0.857,0.857,0.8,0.9,0.9,0.853,0.853
5,35,2,94.286,1.0,0.909,0.867,1.0,1.0,0.94,0.947
15,35,3,91.429,0.875,0.947,0.933,0.9,0.9,0.913,0.987
