Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,6,77.778,0.636,0.875,0.778,0.778,0.778,0.762,0.802
5,27,9,66.667,0.0,0.667,0.0,1.0,1.0,0.4,0.506
5,27,9,66.667,0.0,0.667,0.0,1.0,1.0,0.4,0.877
15,27,9,66.667,0.0,0.667,0.0,1.0,1.0,0.4,0.5
5,36,15,58.333,0.6,0.571,0.5,0.667,0.667,0.58,0.682
5,36,15,58.333,0.8,0.548,0.222,0.944,0.944,0.521,0.867
5,36,18,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.824
10,36,16,55.556,0.667,0.533,0.222,0.889,0.889,0.5,0.772
5,36,19,47.222,0.0,0.486,0.0,0.944,0.944,0.321,0.435
5,36,12,66.667,1.0,0.6,0.333,1.0,1.0,0.625,0.792
