Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,30,4,86.667,0.867,0.867,0.867,0.867,0.867,0.867,0.929
10,30,3,90.0,0.929,0.875,0.867,0.933,0.933,0.9,0.902
5,30,2,93.333,1.0,0.882,0.867,1.0,1.0,0.933,0.924
5,30,3,90.0,0.875,0.929,0.933,0.867,0.867,0.9,1.0
15,35,1,97.143,1.0,0.938,0.95,1.0,1.0,0.971,1.0
5,35,13,62.857,1.0,0.536,0.35,1.0,1.0,0.608,0.773
15,35,8,77.143,0.929,0.667,0.65,0.933,0.933,0.771,0.837
15,35,7,80.0,1.0,0.741,0.533,1.0,1.0,0.773,0.81
5,35,3,91.429,1.0,0.87,0.8,1.0,1.0,0.91,0.953
15,35,7,80.0,0.833,0.783,0.667,0.9,0.9,0.789,0.837
