Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,12,55.556,0.412,0.8,0.778,0.444,0.444,0.555,0.685
5,27,3,88.889,0.75,1.0,1.0,0.833,0.833,0.883,0.944
5,27,6,77.778,0.667,0.833,0.667,0.833,0.833,0.75,0.92
10,27,11,59.259,0.0,0.64,0.0,0.889,0.889,0.372,0.475
5,36,15,58.333,1.0,0.545,0.167,1.0,1.0,0.496,0.509
5,36,21,41.667,0.2,0.452,0.056,0.778,0.778,0.329,0.5
10,36,18,50.0,0.0,0.5,0.0,1.0,1.0,0.333,0.756
5,36,15,58.333,0.56,0.636,0.778,0.389,0.389,0.567,0.741
5,36,20,44.444,0.0,0.471,0.0,0.889,0.889,0.308,0.259
5,36,14,61.111,1.0,0.562,0.222,1.0,1.0,0.542,0.557
