Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,8,70.37,0.571,0.75,0.444,0.833,0.833,0.645,0.605
5,27,11,59.259,0.333,0.667,0.222,0.778,0.778,0.492,0.605
5,27,6,77.778,1.0,0.75,0.333,1.0,1.0,0.679,0.802
5,27,11,59.259,0.25,0.652,0.111,0.833,0.833,0.443,0.451
5,36,19,47.222,0.444,0.481,0.222,0.722,0.722,0.437,0.444
10,36,13,63.889,0.692,0.609,0.5,0.778,0.778,0.632,0.633
10,36,20,44.444,0.25,0.469,0.056,0.833,0.833,0.345,0.465
15,36,11,69.444,0.889,0.63,0.444,0.944,0.944,0.674,0.89
5,36,10,72.222,0.9,0.654,0.5,0.944,0.944,0.708,0.767
5,36,18,50.0,0.5,0.5,0.333,0.667,0.667,0.486,0.537
