Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,30,9,70.0,0.8,0.65,0.533,0.867,0.867,0.691,0.711
5,30,16,46.667,0.333,0.481,0.067,0.867,0.867,0.365,0.444
5,30,10,66.667,1.0,0.6,0.333,1.0,1.0,0.625,0.831
10,30,11,63.333,0.75,0.591,0.4,0.867,0.867,0.612,0.764
15,35,9,74.286,0.867,0.65,0.65,0.867,0.867,0.743,0.827
10,35,13,62.857,1.0,0.536,0.35,1.0,1.0,0.608,0.757
20,35,18,48.571,1.0,0.455,0.1,1.0,1.0,0.403,0.55
20,35,6,82.857,1.0,0.769,0.6,1.0,1.0,0.81,0.867
5,35,7,80.0,1.0,0.741,0.533,1.0,1.0,0.773,0.84
10,35,5,85.714,0.917,0.826,0.733,0.95,0.95,0.849,0.897
