Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,27,17,37.037,0.25,0.545,0.444,0.333,0.333,0.367,0.423
5,27,13,51.852,0.3,0.647,0.333,0.611,0.611,0.472,0.494
15,27,13,51.852,0.357,0.692,0.556,0.5,0.5,0.508,0.611
20,27,13,51.852,0.375,0.727,0.667,0.444,0.444,0.516,0.506
10,36,22,38.889,0.333,0.417,0.222,0.556,0.556,0.371,0.395
20,36,17,52.778,0.526,0.529,0.556,0.5,0.5,0.527,0.506
5,36,18,50.0,0.5,0.5,0.444,0.556,0.556,0.498,0.472
5,36,20,44.444,0.417,0.458,0.278,0.611,0.611,0.429,0.432
5,36,26,27.778,0.3,0.25,0.333,0.222,0.222,0.276,0.292
5,36,14,61.111,0.643,0.591,0.5,0.722,0.722,0.606,0.54
