Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,27,5,81.481,0.75,0.842,0.667,0.889,0.889,0.785,0.654
15,27,5,81.481,0.667,0.933,0.889,0.778,0.778,0.805,0.944
15,27,9,66.667,0.5,0.714,0.333,0.833,0.833,0.585,0.812
10,27,3,88.889,0.8,0.941,0.889,0.889,0.889,0.878,0.895
5,36,13,63.889,1.0,0.581,0.278,1.0,1.0,0.585,0.657
20,36,10,72.222,0.833,0.667,0.556,0.889,0.889,0.714,0.886
10,36,10,72.222,0.9,0.654,0.5,0.944,0.944,0.708,0.738
10,36,6,83.333,0.875,0.8,0.778,0.889,0.889,0.833,0.756
10,36,13,63.889,0.727,0.6,0.444,0.833,0.833,0.625,0.694
15,36,4,88.889,1.0,0.818,0.778,1.0,1.0,0.888,0.944
