Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,30,7,76.667,0.722,0.833,0.867,0.667,0.667,0.764,0.911
15,30,13,56.667,0.625,0.545,0.333,0.8,0.8,0.542,0.609
10,30,15,50.0,0.5,0.5,0.4,0.6,0.6,0.495,0.449
5,30,6,80.0,0.8,0.8,0.8,0.8,0.8,0.8,0.84
20,35,7,80.0,0.933,0.7,0.7,0.933,0.933,0.8,0.88
15,35,10,71.429,0.812,0.632,0.65,0.8,0.8,0.714,0.82
5,35,7,80.0,1.0,0.682,0.65,1.0,1.0,0.799,0.91
10,35,7,80.0,0.833,0.783,0.667,0.9,0.9,0.789,0.877
5,35,5,85.714,1.0,0.8,0.667,1.0,1.0,0.844,0.883
20,35,6,82.857,0.909,0.792,0.667,0.95,0.95,0.816,0.853
