Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,30,3,90.0,1.0,0.833,0.8,1.0,1.0,0.899,0.987
15,30,7,76.667,1.0,0.682,0.533,1.0,1.0,0.753,1.0
20,30,9,70.0,1.0,0.625,0.4,1.0,1.0,0.67,0.942
15,30,6,80.0,1.0,0.714,0.6,1.0,1.0,0.792,0.884
15,35,6,82.857,1.0,0.714,0.7,1.0,1.0,0.828,0.96
10,35,7,80.0,0.933,0.7,0.7,0.933,0.933,0.8,0.933
15,35,10,71.429,1.0,0.6,0.5,1.0,1.0,0.708,0.95
15,35,7,80.0,1.0,0.741,0.533,1.0,1.0,0.773,0.913
5,35,9,74.286,0.875,0.704,0.467,0.95,0.95,0.709,0.927
5,35,5,85.714,1.0,0.8,0.667,1.0,1.0,0.844,0.977
