Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
20,30,7,76.667,0.9,0.7,0.6,0.933,0.933,0.76,0.849
20,30,5,83.333,1.0,0.75,0.667,1.0,1.0,0.829,0.862
20,30,7,76.667,0.833,0.722,0.667,0.867,0.867,0.764,0.804
10,30,10,66.667,0.727,0.632,0.533,0.8,0.8,0.661,0.733
15,35,16,54.286,1.0,0.484,0.2,1.0,1.0,0.493,0.673
10,35,14,60.0,1.0,0.517,0.3,1.0,1.0,0.572,0.807
20,35,12,65.714,1.0,0.556,0.4,1.0,1.0,0.643,0.66
15,35,13,62.857,0.75,0.613,0.2,0.95,0.95,0.53,0.58
20,35,8,77.143,0.818,0.75,0.6,0.9,0.9,0.755,0.673
20,35,9,74.286,0.875,0.704,0.467,0.95,0.95,0.709,0.85
