Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
15,30,2,93.333,1.0,0.882,0.867,1.0,1.0,0.933,0.96
20,30,6,80.0,0.909,0.737,0.667,0.933,0.933,0.796,0.907
20,30,6,80.0,0.846,0.765,0.733,0.867,0.867,0.799,0.907
15,30,9,70.0,0.875,0.636,0.467,0.933,0.933,0.683,0.831
15,35,4,88.571,1.0,0.789,0.8,1.0,1.0,0.886,0.897
15,35,4,88.571,1.0,0.789,0.8,1.0,1.0,0.886,0.98
5,35,4,88.571,1.0,0.789,0.8,1.0,1.0,0.886,0.863
20,35,4,88.571,1.0,0.833,0.733,1.0,1.0,0.878,0.877
10,35,3,91.429,1.0,0.87,0.8,1.0,1.0,0.91,0.913
5,35,5,85.714,1.0,0.8,0.667,1.0,1.0,0.844,0.903
