Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,30,4,86.667,0.923,0.824,0.8,0.933,0.933,0.866,0.916
5,30,5,83.333,1.0,0.75,0.667,1.0,1.0,0.829,0.973
20,30,8,73.333,0.889,0.667,0.533,0.933,0.933,0.722,0.769
5,30,4,86.667,0.923,0.824,0.8,0.933,0.933,0.866,0.893
10,35,4,88.571,1.0,0.789,0.8,1.0,1.0,0.886,0.907
20,35,4,88.571,1.0,0.789,0.8,1.0,1.0,0.886,0.925
15,35,2,94.286,1.0,0.882,0.9,1.0,1.0,0.942,0.995
10,35,5,85.714,1.0,0.8,0.667,1.0,1.0,0.844,0.977
5,35,5,85.714,0.857,0.857,0.8,0.9,0.9,0.853,0.937
10,35,6,82.857,0.909,0.792,0.667,0.95,0.95,0.816,0.747
