Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,30,7,76.667,0.75,0.786,0.8,0.733,0.733,0.766,0.889
20,30,9,70.0,0.875,0.636,0.467,0.933,0.933,0.683,0.902
10,30,5,83.333,0.917,0.778,0.733,0.933,0.933,0.832,0.902
5,30,2,93.333,0.933,0.933,0.933,0.933,0.933,0.933,0.991
20,35,5,85.714,1.0,0.75,0.75,1.0,1.0,0.857,0.97
10,35,1,97.143,1.0,0.938,0.95,1.0,1.0,0.971,0.987
5,35,3,91.429,1.0,0.833,0.85,1.0,1.0,0.914,0.917
15,35,7,80.0,0.9,0.76,0.6,0.95,0.95,0.782,0.907
5,35,4,88.571,1.0,0.833,0.733,1.0,1.0,0.878,0.89
5,35,4,88.571,0.923,0.864,0.8,0.95,0.95,0.881,0.947
