Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
5,30,11,63.333,0.611,0.667,0.733,0.533,0.533,0.63,0.613
5,30,17,43.333,0.429,0.438,0.4,0.467,0.467,0.433,0.382
15,30,19,36.667,0.25,0.409,0.133,0.6,0.6,0.33,0.409
5,30,16,46.667,0.474,0.455,0.6,0.333,0.333,0.457,0.578
15,35,22,37.143,0.438,0.316,0.35,0.4,0.4,0.371,0.42
5,35,19,45.714,0.526,0.375,0.5,0.4,0.4,0.45,0.413
10,35,21,40.0,0.471,0.333,0.4,0.4,0.4,0.398,0.457
5,35,17,51.429,0.444,0.588,0.533,0.5,0.5,0.513,0.493
5,35,11,68.571,0.7,0.68,0.467,0.85,0.85,0.658,0.627
5,35,10,71.429,0.727,0.708,0.533,0.85,0.85,0.694,0.623
