Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,AUC
10,27,12,55.556,0.385,0.714,0.556,0.556,0.556,0.54,0.599
5,27,5,81.481,0.75,0.842,0.667,0.889,0.889,0.785,0.907
5,27,4,85.185,0.778,0.889,0.778,0.889,0.889,0.833,0.889
10,27,7,74.074,0.583,0.867,0.778,0.722,0.722,0.727,0.87
5,36,18,50.0,0.5,0.5,0.167,0.833,0.833,0.438,0.602
5,36,7,80.556,0.923,0.739,0.667,0.944,0.944,0.802,0.886
10,36,8,77.778,0.917,0.708,0.611,0.944,0.944,0.771,0.855
5,36,13,63.889,0.778,0.593,0.389,0.889,0.889,0.615,0.806
5,36,11,69.444,0.769,0.652,0.556,0.833,0.833,0.688,0.799
10,36,9,75.0,0.909,0.68,0.556,0.944,0.944,0.74,0.793
